Project Name,Chosen Customer,Status,Hours,Is Duplicate,Other Customers
"West Building Wolf Movers","Brecknock Builders LLC","Bid Submitted",731.5299999999999,false,
"West Building Wolf Movers Keystone","Keystone Steel Structures","Bid Submitted",590.8,false,
"West King Street","CCS Building Group","Lost",127.7,false,
"West Shore Country Club Addition","Centurion Construction Group, LLC","Bid Submitted",667.5,false,
"Western Corners Retail","Heck Construction","Lost",724,false,
"Westminster Presbyterian Addition","Centurion Construction Group, LLC","In Progress",681,false,
"White Oak Church","Hoover Building Specialists, Inc.","Bid Submitted",661.07,false,
"Wildflower Commons - Future Building","CGA Construction","Complete",331.55,false,
"Willow Grove Retail Buildings D","Milex Construction, LLC","Lost",778,false,
"Willow Grove Retail Buildings D & H","CBG Building Company","Bid Submitted",1459.5,false,
"Willow Grove Retail Buildings H","Milex Construction, LLC","Lost",681.5,false,
"Willow Grove Site","CBG Building Company","Bid Submitted",4817,false,
"Willow Valley Lakes Core Phase 2","CCS Building Group","Bid Submitted",650,false,
"Wilson Southern Middle School","BN Excavating Inc.","Bid Submitted",316.5,false,
"Witmer Property","","Estimating",null,false,
"Wolfgang - Warrell Warehouse 4","Centurion Construction Group, LLC","Bid Submitted",644,false,
"WS Bath","Hoover Building Specialists, Inc.","Bid Submitted",27.6,false,
"WVC - Lakes Phase I","CCS Building Group","In Progress",42.5,false,
"Yale Electric","Keystruct Construction LLC","Bid Submitted",587,false,
"Yates Rental","Hoover Building Specialists, Inc.","Lost",370,false,
"Zimmeys Auto 24-145","J.E. Horst Building and Remodeling","Delayed",69,false,
