RowIndex,OldUniqueKey,OldCostCode,OldItemId,OldName,NewUniqueKey,NewCostCode,NewItemId,NewName
133,03-300-30-30|38982920,03-300-30-30,38982920,Telehandler 8000 lb (In-House),03-200-20-20|51482149,03-200-20-20,51482149,#3 Rebar - 20' Pc
134,03-300-30-40|38982921,03-300-30-40,38982921,Scissor Lift Rental,03-200-20-20|51482150,03-200-20-20,51482150,#5 Rebar - 20' Pc
135,03-300-30-20|39433395,03-300-30-20,39433395,Decorative Mockups,03-200-20-20|51482151,03-200-20-20,51482151,#6 Rebar - 20' Pc
136,03-300-30-50|39582183,03-300-30-50,39582183,Site Concrete Subcontractor,03-200-20-20|51482152,03-200-20-20,51482152,#7 Rebar - 20' Pc
137,03-300-30-30|39583319,03-300-30-30,39583319,Tower Light,03-200-20-20|51482153,03-200-20-20,51482153,#8 Rebar - 20' Pc
138,03-300-30-30|39583320,03-300-30-30,39583320,Concrete Buggy,03-200-20-20|51482154,03-200-20-20,51482154,#9 Rebar - 20' Pc
139,03-300-30-40|42359745,03-300-30-40,42359745,Curb Form Rentals,03-200-20-20|51482155,03-200-20-20,51482155,#11 Rebar - 20' Pc
140,02-400-10-10|38920770,02-400-10-10,38920770,Demo Labor,03-200-20-20|51482156,03-200-20-20,51482156,#10 Rebar - 20' Pc
141,02-400-10-20|38920782,02-400-10-20,38920782,Demo Equipment,03-100-20-20|51482157,03-100-20-20,51482157,Wall Forms
142,03-400-10-20|36836748,03-400-10-20,36836748,Chop Saw,03-100-20-20|51482158,03-100-20-20,51482158,Wood Wall Forms
143,03-400-10-20|36836750,03-400-10-20,36836750,Soffcut Saw X150,03-100-20-20|51482159,03-100-20-20,51482159,"8"" Wall Tie"
144,03-400-10-20|36836751,03-400-10-20,36836751,Soffcut Saw X4000,03-300-10-20|51482160,03-300-10-20,51482160,Fiber
145,03-400-10-20|36836752,03-400-10-20,36836752,"18"" Floor Saw",03-300-10-30|51482294,03-300-10-30,51482294,Tower Light
146,03-400-10-10|38981316,03-400-10-10,38981316,Concrete Sawing Labor,03-300-10-30|51482295,03-300-10-30,51482295,Concrete Buggy
147,02-500-10-10|38920789,02-500-10-10,38920789,Remediation Labor,03-300-10-30|51482296,03-300-10-30,51482296,Telehandler 8000 lb (In-House)
148,02-500-10-20|38920790,02-500-10-20,38920790,Remediation Equipment,03-300-10-40|51482297,03-300-10-40,51482297,Telehandler 8000 lb (Rental)
149,03-150-10-85|36804163,03-150-10-85,36804163,EPS Foam Concrete Adhesive 14 oz,03-300-10-30|51482298,03-300-10-30,51482298,Telehandler 8000 lb (In-House)
150,03-150-10-85|36804164,03-150-10-85,36804164,Planitop X 50 lb Bag,03-300-10-40|51482299,03-300-10-40,51482299,Scissor Lift Rental
151,03-150-10-85|36804167,03-150-10-85,36804167,Quikrete Concrete Mix 80 Lb bag,03-100-20-20|51482337,03-100-20-20,51482337,Wall Form Rentals
152,03-150-10-85|36804170,03-150-10-85,36804170,Pc-Concrete Repair Epoxy,03-300-10-50|51482338,03-300-10-50,51482338,Poured Wall Subcontractor
153,03-150-10-85|36804177,03-150-10-85,36804177,Sika AnchorFix1,03-100-20-10|51482371,03-100-20-10,51482371,Labor Wall Forms
154,03-150-10-85|36804180,03-150-10-85,36804180,Super Air Plus 1 Bag,03-300-10-10|51482372,03-300-10-10,51482372,Labor Wall
155,03-150-10-85|36804181,03-150-10-85,36804181,Mini Delay Set,03-200-20-10|51482373,03-200-20-10,51482373,Labor Wall Rebar
156,03-150-10-85|38935988,03-150-10-85,38935988,Precision Non-Shrink Grout 50lb,03-300-20-20|51482161,03-300-20-20,51482161,Fiber
157,03-150-10-85|38970800,03-150-10-85,38970800,"Fiber 3/4"" Length 1 LB.Bag",03-300-20-20|51482162,03-300-20-20,51482162,Slab On Grade Concrete
158,03-150-10-85|38975882,03-150-10-85,38975882,"Keyway- Screed Key Pc. 3.5""x10'",03-100-30-20|51482163,03-100-30-20,51482163,Slab On Grade Wood Forms
159,03-150-10-85|38975883,03-150-10-85,38975883,"Keyway- Screed Key Pc. 5.5""x10'",03-200-30-20|51482164,03-200-30-20,51482164,#4 Rebar - 20' Pc
160,03-150-10-85|38975884,03-150-10-85,38975884,"Quick Joint zip strip Pc. 1""x10'",03-200-30-20|51482165,03-200-30-20,51482165,#3 Rebar - 20' Pc
161,03-150-10-85|38975885,03-150-10-85,38975885,"Wood Chamfer Pc. 3/4""x3/4""x10'",03-200-30-20|51482166,03-200-30-20,51482166,#5 Rebar - 20' Pc
162,03-150-10-85|43288331,03-150-10-85,43288331,Non Metallic Floor Hardener 50 lb. Bag,03-200-30-20|51482167,03-200-30-20,51482167,#6 Rebar - 20' Pc
163,04-100-10-20|38977375,04-100-10-20,38977375,Masonry Subcontractor,03-200-30-20|51482168,03-200-30-20,51482168,#7 Rebar - 20' Pc
